Accuracy,Dropout,Model,Train_Time,Val_Acc,Epoch
0.7925,0.7,RNN,185.5441,0.7967,e10
0.7923,0.6,CNN,93.2818,0.7971,e10
0.7976,0.6,RNN,185.984,0.7952,e10
0.7829,0.5,CNN,93.1968,0.788,e10
0.7907,0.5,RNN,142.4025,0.7814,e10
0.7893,0.4,CNN,85.733,0.7989,e10
0.8024,0.4,RNN,140.4307,0.8209,e10
0.7885,0.3,CNN,86.1718,0.7729,e10
0.8013,0.3,RNN,140.6294,0.7977,e10
0.7853,0.2,CNN,86.0905,0.7763,e10
0.8067,0.2,RNN,151.7908,0.8146,e10
0.7869,0.1,CNN,100.1882,0.772,e10
0.8272,0.1,RNN,178.6602,0.8269,e10
0.7955,1.0,CNN,136.4835,0.8005,e15
0.7931,1.0,RNN,165.6118,0.7933,e15
0.7891,0.9,CNN,141.783,0.7942,e15
0.7917,0.9,RNN,199.4637,0.7927,e15
0.7845,0.8,CNN,135.3567,0.8024,e15
0.7872,0.8,RNN,249.2037,0.7892,e15
0.7779,0.7,CNN,126.6865,0.7895,e15
0.7899,0.7,RNN,199.3676,0.7967,e15
0.7816,0.6,CNN,122.4245,0.7892,e15
0.7925,0.6,RNN,186.8529,0.7839,e15
0.7787,0.5,CNN,131.3943,0.7616,e15
0.7931,0.5,RNN,250.8487,0.7911,e15
0.7827,0.4,CNN,136.5606,0.7704,e15
0.8037,0.4,RNN,252.7968,0.7952,e15
0.7843,0.3,CNN,134.5437,0.7619,e15
0.7965,0.3,RNN,233.459,0.8074,e15
0.7827,0.2,CNN,121.1898,0.7713,e15
0.8043,0.2,RNN,193.0409,0.8074,e15
0.7797,0.1,CNN,120.7466,0.7782,e15
0.8165,0.1,RNN,239.6966,0.8146,e15
0.7832,1.0,CNN,164.598,0.7829,e20
0.7915,1.0,RNN,193.3025,0.7726,e20
0.7755,0.9,CNN,162.6514,0.7817,e20
0.7784,0.9,RNN,279.5249,0.7829,e20
0.7749,0.8,CNN,163.0251,0.7748,e20
0.7901,0.8,RNN,309.4216,0.8005,e20
0.7757,0.7,CNN,170.6577,0.7807,e20
0.7784,0.7,RNN,247.7437,0.7942,e20
0.7872,0.6,CNN,168.0575,0.7848,e20
0.7829,0.6,RNN,316.8314,0.7823,e20
0.7891,0.5,CNN,190.4607,0.7905,e20
0.7888,0.5,RNN,353.8691,0.7945,e20
0.776,0.4,CNN,179.0721,0.7779,e20
0.7936,0.4,RNN,339.3679,0.7964,e20
0.7808,0.3,CNN,182.0448,0.7729,e20
0.7907,0.3,RNN,333.083,0.7939,e20
0.7693,0.2,CNN,181.4774,0.7832,e20
0.796,0.2,RNN,342.6939,0.813,e20
0.7717,0.1,CNN,181.596,0.772,e20
0.8187,0.1,RNN,337.8782,0.8109,e20
0.7899,1.0,CNN,294.0467,0.7889,e30
0.7795,1.0,RNN,349.5059,0.7864,e30
0.7816,0.9,CNN,275.5048,0.798,e30
0.7808,0.9,RNN,499.8711,0.7823,e30
0.7667,0.8,CNN,284.3612,0.7735,e30
0.7893,0.8,RNN,491.3386,0.7811,e30
0.7715,0.7,CNN,273.2818,0.7566,e30
0.7853,0.7,RNN,499.1055,0.7939,e30
0.7819,0.6,CNN,284.1263,0.7716,e30
0.7869,0.6,RNN,492.0739,0.7949,e30
0.7779,0.5,CNN,271.9749,0.7811,e30
0.784,0.5,RNN,409.1536,0.7832,e30
0.7789,0.4,CNN,259.4961,0.7726,e30
0.7808,0.4,RNN,480.1021,0.7792,e30
0.7683,0.3,CNN,268.1852,0.7713,e30
0.7944,0.3,RNN,398.2346,0.8052,e30
0.7699,0.2,CNN,259.2833,0.7694,e30
0.7752,0.2,RNN,457.8279,0.7694,e30
0.7789,0.1,CNN,281.9303,0.782,e30
0.7973,0.1,RNN,511.0904,0.7883,e30
0.7875,1.0,CNN,348.3623,0.7779,e40
0.7888,1.0,RNN,469.3007,0.7914,e40
0.7896,0.9,CNN,354.5737,0.7679,e40
0.7856,0.9,RNN,474.3056,0.7854,e40
0.7888,0.8,CNN,330.587,0.782,e40
0.7899,0.8,RNN,527.2204,0.7986,e40
0.7811,0.7,CNN,358.7035,0.7829,e40
0.7827,0.7,RNN,593.4248,0.7842,e40
0.7832,0.6,CNN,326.2227,0.7785,e40
0.7893,0.6,RNN,570.0156,0.7927,e40
0.7843,0.5,CNN,354.6048,0.7861,e40
0.7843,0.5,RNN,599.1235,0.7927,e40
0.7704,0.4,CNN,356.0208,0.7842,e40
0.7827,0.4,RNN,595.9432,0.792,e40
0.7723,0.3,CNN,356.521,0.7669,e40
0.7973,0.3,RNN,596.6877,0.7964,e40
0.776,0.2,CNN,356.9663,0.776,e40
0.808,0.2,RNN,595.7911,0.8143,e40
0.7683,0.1,CNN,357.4907,0.7785,e40
0.8131,0.1,RNN,598.7132,0.8093,e40
0.7909,1.0,CNN,405.6715,0.7832,e50
0.7819,1.0,RNN,614.0363,0.7732,e50
0.7845,0.9,CNN,454.7152,0.7923,e50
0.7915,0.9,RNN,722.1215,0.7867,e50
0.7864,0.8,CNN,428.6658,0.771,e50
0.7877,0.8,RNN,760.4468,0.7949,e50
0.7872,0.7,CNN,431.2973,0.7738,e50
0.7933,0.7,RNN,753.7775,0.7902,e50
0.7845,0.6,CNN,435.5515,0.7817,e50
0.7896,0.6,RNN,770.8665,0.8008,e50
0.7728,0.5,CNN,439.8967,0.7807,e50
0.7829,0.5,RNN,747.4122,0.7958,e50
0.7888,0.4,CNN,421.8867,0.7892,e50
0.7877,0.4,RNN,605.4447,0.8027,e50
0.7909,0.3,CNN,406.7897,0.7773,e50
0.7984,0.3,RNN,571.4597,0.7892,e50
0.7808,0.2,CNN,406.5076,0.7826,e50
0.8021,0.2,RNN,569.6013,0.792,e50
0.7712,0.1,CNN,416.5428,0.7641,e50
0.8173,0.1,RNN,606.6061,0.8099,e50
